,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Pevek,RU,69.7008,170.3133,28.42,95,100,30.24
1,Yellowknife,CA,62.456,-114.3525,50.56,57,40,10.36
2,Skjervoy,NO,70.0311,20.9714,48.2,88,100,21.68
3,Auch,FR,43.65,0.5833,65.34,81,39,3.18
4,Killybegs,IE,54.6333,-8.45,56.91,85,100,25.41
5,Tura,IN,25.5198,90.2201,71.69,97,22,3.42
6,Slave Lake,CA,55.2834,-114.769,46.38,76,0,6.91
7,Bejar,ES,40.3864,-5.7634,68.58,59,100,2.28
8,Bowen,AU,-20.0167,148.2333,73.56,80,31,17.05
9,Olafsvik,IS,64.8945,-23.7142,41.61,68,75,13.06
10,Tuatapere,NZ,-46.1333,167.6833,36.91,83,40,4.16
11,Vikhorevka,RU,56.1201,101.1636,31.59,94,90,1.66
12,Mataura,NZ,-46.1927,168.8643,43.48,89,7,1.57
13,Mandalgovi,MN,45.7625,106.2708,37.62,29,100,6.02
14,Faya,SA,18.3851,42.4509,73.51,27,67,10.04
15,Bredasdorp,ZA,-34.5322,20.0403,58.3,79,100,8.52
16,Camacha,PT,33.0833,-16.3333,69.22,78,20,13.8
17,Saint George,US,37.1041,-113.5841,81.95,26,0,3.0
18,Nikolskoye,RU,59.7035,30.7861,53.8,85,17,11.21
19,Bluff,NZ,-46.6,168.3333,43.81,68,6,5.7
20,Saint-Augustin,CA,51.226,-58.6502,59.22,64,12,17.4
21,Llangefni,GB,53.2556,-4.3106,59.74,85,100,33.38
22,East London,ZA,-33.0153,27.9116,59.94,82,0,8.05
23,Boda,CF,4.3189,17.4695,69.17,96,77,1.86
24,Hammerfest,NO,70.6634,23.6821,45.05,87,75,10.36
25,Shenzhen,CN,22.5455,114.0683,83.21,89,1,5.82
26,Port Alfred,ZA,-33.5906,26.891,58.17,82,100,1.99
27,Inta,RU,66.0317,60.1659,41.43,92,100,5.79
28,Severodvinsk,RU,64.5635,39.8302,48.31,88,100,19.15
29,Kitui,KE,-1.367,38.0106,68.0,64,6,13.53
30,Waipawa,NZ,-41.4122,175.5153,40.8,89,94,16.91
31,Padang,ID,-0.9492,100.3543,71.65,88,100,2.66
32,Torbay,CA,47.6666,-52.7314,61.16,87,75,8.05
33,Puerto Ayora,EC,-0.7393,-90.3518,76.96,88,94,8.01
34,Ocampo,MX,21.65,-101.5,65.71,57,100,9.69
35,Cape Town,ZA,-33.9258,18.4232,62.35,75,75,4.61
36,Ushuaia,AR,-54.8,-68.3,46.06,53,75,4.61
37,Flinders,AU,-34.5833,150.8552,61.38,93,100,3.0
38,Hobart,AU,-42.8794,147.3294,57.06,91,75,5.75
39,Great Yarmouth,GB,52.6083,1.7305,59.41,67,12,14.25
40,Avarua,CK,-21.2078,-159.775,75.25,64,40,12.66
41,Hilo,US,19.7297,-155.09,82.27,88,100,6.91
42,Jamestown,US,42.097,-79.2353,69.03,46,40,6.91
43,Marsa Matruh,EG,31.3525,27.2453,73.6,53,20,11.5
44,Pakxan,LA,18.3778,103.6601,72.07,96,94,3.83
45,Zherdevka,RU,51.8486,41.4606,51.17,83,100,5.46
46,Rikitea,PF,-23.1203,-134.9692,70.12,64,58,22.64
47,Khatanga,RU,71.9667,102.5,19.6,94,100,14.63
48,Albany,US,42.6001,-73.9662,74.77,58,9,3.71
49,Prado,BR,-17.3411,-39.2208,79.56,65,87,10.18
50,Caetite,BR,-14.0694,-42.475,88.88,25,100,11.72
51,Warmbad,NA,-28.45,18.7333,67.19,22,100,16.2
52,San Carlos De Bariloche,AR,-41.1456,-71.3082,53.35,35,75,27.63
53,Punta Arenas,CL,-53.15,-70.9167,48.31,49,75,25.32
54,Georgetown,MY,5.4112,100.3354,81.23,89,20,1.14
55,Kavieng,PG,-2.5744,150.7967,82.11,74,100,16.04
56,Lashio,MM,22.9333,97.75,65.41,99,33,1.19
57,Sembe,CG,1.6481,14.5806,68.95,100,100,1.72
58,Pandan Niog,PH,6.2282,120.5631,83.14,73,79,6.11
59,Port Lincoln,AU,-34.7333,135.8667,53.1,73,2,11.99
60,Victoria,HK,22.2855,114.1577,83.32,80,0,11.01
61,Pisco,PE,-13.7,-76.2167,62.65,82,20,11.5
62,Sitka,US,57.0531,-135.33,57.09,94,75,0.0
63,Pacific Grove,US,36.6177,-121.9166,72.21,87,20,4.61
64,Peniche,PT,39.3558,-9.3811,71.08,70,82,7.83
65,Manggar,ID,-2.8833,108.2667,77.79,87,100,4.47
66,Shaunavon,CA,49.6501,-108.4181,44.38,37,11,7.09
67,Vredendal,ZA,-31.6683,18.5012,56.57,89,100,9.19
68,Charters Towers,AU,-20.1,146.2667,67.68,88,61,12.17
69,Bontang,ID,0.1333,117.5,75.97,90,97,3.51
70,Vaini,TO,-21.2,-175.2,69.96,100,40,2.3
71,Riyadh,SA,24.6877,46.7219,86.14,12,0,4.29
72,Sharlyk,RU,52.9167,54.75,49.48,77,100,6.69
73,Montepuez,MZ,-13.1256,38.9997,72.3,57,0,7.92
74,Busselton,AU,-33.65,115.3333,52.0,68,100,3.18
75,Bathsheba,BB,13.2167,-59.5167,84.81,79,75,17.27
76,Rocha,UY,-34.4833,-54.3333,57.9,99,100,8.16
77,Korla,CN,41.7597,86.1469,54.55,38,28,2.33
78,Port Angeles,US,48.1181,-123.4307,70.84,70,0,11.5
79,Kaitangata,NZ,-46.2817,169.8464,38.64,85,36,6.76
80,Kenai,US,60.5544,-151.2583,47.14,96,75,5.75
81,Zyryanka,RU,65.75,150.85,23.9,94,100,18.92
82,Dikson,RU,73.5069,80.5464,32.13,99,100,23.94
83,Kahului,US,20.8947,-156.47,80.96,76,40,9.22
84,Quelimane,MZ,-17.8786,36.8883,76.95,88,0,8.05
85,Kapaa,US,22.0752,-159.319,78.78,80,0,6.91
86,Roald,NO,62.5833,6.1333,53.33,71,75,31.07
87,Ponta Do Sol,PT,32.6667,-17.1,75.7,81,36,4.81
88,Malu Mare,RO,44.2333,23.8667,60.13,55,0,2.3
89,Celestun,MX,20.8667,-90.4,82.99,60,16,11.21
90,Lahaina,US,20.8783,-156.6825,80.94,84,100,6.46
91,Concarneau,FR,47.875,-3.9225,56.82,80,45,4.85
92,Olinda,BR,-8.0089,-34.8553,76.73,88,75,5.75
93,Walvis Bay,NA,-22.9575,14.5053,58.15,77,0,6.91
94,Lebu,CL,-37.6167,-73.65,52.88,96,100,9.06
95,Hermanus,ZA,-34.4187,19.2345,57.79,75,98,12.21
96,Saldanha,ZA,-33.0117,17.9442,60.85,83,19,14.07
97,Esperance,AU,-33.8667,121.9,55.08,59,100,13.04
98,Hithadhoo,MV,-0.6,73.0833,80.73,80,50,18.45
99,Ribeira Grande,PT,38.5167,-28.7,75.6,73,20,3.44
100,Acapulco,MX,16.8634,-99.8901,84.78,66,7,5.93
101,Luderitz,NA,-26.6481,15.1594,61.68,56,20,23.94
102,Coihaique,CL,-45.5752,-72.0662,50.61,50,75,8.05
103,Port Elizabeth,ZA,-33.918,25.5701,62.89,79,0,19.57
104,Cockburn Town,TC,21.4612,-71.1419,85.96,70,40,6.91
105,Santa Rosa,PH,14.3122,121.1114,82.38,89,100,6.44
106,Vila Franca Do Campo,PT,37.7167,-25.4333,72.01,78,34,7.23
107,Sabang,ID,5.8933,95.3214,76.78,89,100,10.94
108,Namtsy,RU,62.7161,129.6658,23.31,78,97,7.87
109,Saint-Philippe,RE,-21.3585,55.7679,71.19,78,45,13.47
110,Qaanaaq,GL,77.484,-69.3632,14.77,89,98,7.36
111,Ha Tinh,VN,18.3333,105.9,75.67,92,6,4.32
112,Ouadda,CF,8.0777,22.4007,69.55,93,13,3.38
113,Zunyi,CN,27.6867,106.9072,56.26,88,100,1.83
114,Almeria,ES,37.1667,-2.3333,66.78,76,44,7.18
115,Puerto Baquerizo Moreno,EC,-0.9,-89.6,72.59,78,75,16.11
116,Harrisonburg,US,38.4496,-78.8689,74.55,40,100,2.46
117,Bulgan,MN,48.8125,103.5347,31.62,45,100,3.76
118,Barrow,US,71.2906,-156.7887,39.22,81,20,21.85
119,Mar Del Plata,AR,-38.0023,-57.5575,66.22,81,75,9.22
120,Sandpoint,US,48.2766,-116.5533,70.86,57,10,3.76
121,Makakilo City,US,21.3469,-158.0858,79.45,70,0,8.05
122,Cabo San Lucas,MX,22.8909,-109.9124,90.7,60,0,9.22
123,Corn Island,NI,12.1694,-83.0418,82.81,78,87,14.07
124,Saint-Denis,FR,48.9167,2.3333,59.77,64,0,4.61
125,Iqaluit,CA,63.7506,-68.5145,28.13,74,75,16.11
126,Kyra,RU,49.5776,111.9753,29.77,57,99,3.69
127,Alihe,CN,50.5667,123.7167,25.05,63,5,2.89
128,Lima,PE,-12.0432,-77.0282,62.85,68,75,10.36
129,Thompson,CA,55.7435,-97.8558,32.16,59,75,9.22
130,Agua Buena,PA,7.8167,-80.4,83.53,71,100,5.73
131,Lompoc,US,34.6391,-120.4579,69.94,100,40,0.0
132,Carnarvon,AU,-24.8667,113.6333,62.4,60,94,24.79
133,Cascais,PT,38.6979,-9.4215,76.35,83,0,12.66
134,Sistranda,NO,63.7256,8.834,48.16,80,87,44.52
135,Longyearbyen,SJ,78.2186,15.6401,37.24,75,40,17.27
136,Bantou,CN,26.2151,117.4893,68.31,94,100,2.93
137,San Patricio,US,28.017,-97.5169,89.55,34,92,11.23
138,Arraial Do Cabo,BR,-22.9661,-42.0278,75.06,73,40,24.16
139,Lac-Megantic,CA,45.5834,-70.8823,74.52,53,84,7.27
140,Paredon,MX,16.0333,-93.8667,89.35,56,99,12.01
141,Liverpool,GB,53.4106,-2.9779,60.75,79,0,17.27
142,Kindu,CD,-2.95,25.95,71.94,90,18,4.61
143,Sioux Lookout,CA,50.1001,-91.917,35.67,80,75,8.05
144,Kiruna,SE,67.8557,20.2251,41.92,70,100,17.27
145,Atuona,PF,-9.8,-139.0333,76.87,75,16,21.3
146,Butaritari,KI,3.0707,172.7902,81.81,76,22,16.73
147,Qena,EG,26.1615,32.7183,86.58,31,0,12.37
148,Moranbah,AU,-22.0016,148.0466,64.51,90,8,13.76
149,Kovur,IN,14.4833,79.9833,78.57,78,43,4.54
150,Severo-Kurilsk,RU,50.6789,156.125,42.13,63,62,10.38
151,Swakopmund,NA,-22.6833,14.5333,58.05,85,0,11.79
152,Ahipara,NZ,-35.1667,173.1667,51.67,64,100,6.96
153,Mount Isa,AU,-20.7333,139.5,71.37,73,6,4.61
154,Coquimbo,CL,-29.9533,-71.3436,65.93,63,0,17.27
155,Pahalgam,IN,34.0333,75.3333,47.64,54,0,2.62
156,Provideniya,RU,64.3833,-173.3,39.58,76,8,31.99
157,Namatanai,PG,-3.6667,152.4333,80.47,72,100,12.08
158,Rigaud,CA,45.4793,-74.3024,74.34,48,87,9.51
159,Vavuniya,LK,8.7514,80.4971,76.51,85,100,6.67
160,Egvekinot,RU,66.3167,-179.1667,24.06,76,93,32.59
161,Leningradskiy,RU,69.3833,178.4167,32.83,68,98,29.01
162,Yulara,AU,-25.2406,130.9889,61.61,69,3,12.77
163,Bambous Virieux,MU,-20.3428,57.7575,72.21,73,75,11.5
164,New Norfolk,AU,-42.7826,147.0587,56.7,86,100,2.66
165,Beira,MZ,-19.8436,34.8389,75.29,88,0,5.75
166,Hobyo,SO,5.3505,48.5268,78.13,83,67,18.32
167,Derzhavinsk,KZ,51.1,66.3167,53.96,20,93,9.37
168,Maniitsoq,GL,65.4167,-52.9,33.06,81,100,5.61
169,Yarada,IN,17.65,83.2667,80.92,94,75,2.3
170,College,US,64.8569,-147.8028,51.28,79,100,4.61
171,Ramsar,IR,36.9226,50.6426,72.84,78,75,2.3
172,Ziro,IN,27.6333,93.8333,56.86,99,100,1.88
173,Tessalit,ML,20.1986,1.0114,94.84,13,81,10.09
174,Salinopolis,BR,-0.6136,-47.3561,83.8,70,73,16.46
175,Kibondo,TZ,-3.5864,30.7203,72.66,45,96,1.25
176,Samarai,PG,-10.6167,150.6667,80.35,81,88,9.53
177,Kirovsk,UA,48.6375,38.6428,53.47,61,0,6.49
178,Klaksvik,FO,62.2266,-6.589,49.12,80,88,23.76
179,Ostrovnoy,RU,68.0531,39.5131,47.03,88,100,27.83
180,Airai,TL,-8.9266,125.4092,59.92,88,35,2.66
181,Alofi,NU,-19.0595,-169.9187,71.49,100,97,3.44
182,Masterton,NZ,-40.9597,175.6575,42.89,82,91,10.18
183,Boa Vista,BR,2.8197,-60.6733,93.18,43,40,9.22
184,Kodiak,US,57.79,-152.4072,51.31,93,100,6.91
185,Vardo,NO,70.3705,31.1107,44.58,87,20,28.77
186,Parelhas,BR,-6.6878,-36.6575,94.06,28,44,18.72
187,Bonavista,CA,48.6499,-53.1147,57.04,73,100,10.11
188,Chokwe,MZ,-24.5333,32.9833,86.45,20,0,6.31
189,Artyom,AZ,40.4723,50.333,68.14,82,26,29.91
190,Umba,RU,66.6871,34.3429,45.64,89,100,10.69
191,Hamilton,US,39.1834,-84.5333,77.65,40,28,3.0
192,Hailar,CN,49.2,119.7,24.24,59,8,4.63
193,Wanning,CN,18.8003,110.3967,78.67,89,59,7.23
194,Namibe,AO,-15.1961,12.1522,63.34,86,94,6.78
195,Sur,OM,22.5667,59.5289,82.24,64,15,9.1
196,Kazerun,IR,29.6195,51.6541,79.99,13,0,6.8
197,Saint-Pierre,RE,-21.3393,55.4781,71.28,68,0,18.41
198,Chuy,UY,-33.6971,-53.4616,61.03,98,100,3.89
199,Nome,US,64.5011,-165.4064,42.87,75,100,23.02
200,Huadian,CN,42.9633,126.7478,31.69,77,0,3.15
201,Jalu,LY,29.0331,21.5482,75.88,32,0,9.33
202,Impfondo,CG,1.6381,18.0667,71.2,99,100,3.85
203,Port Maria,JM,18.3685,-76.8895,91.06,84,84,9.69
204,Portland,US,45.5234,-122.6762,70.81,75,20,6.91
205,Nanortalik,GL,60.1432,-45.2371,37.13,76,4,12.8
206,Atikokan,CA,48.7555,-91.6216,38.75,65,100,12.03
207,Hovd,MN,48.0056,91.6419,36.48,76,100,10.58
208,Humlebaek,DK,55.9618,12.5341,57.88,78,27,5.99
209,Geraldton,AU,-28.7667,114.6,43.21,87,58,3.44
210,Palmer,US,42.1584,-72.3287,74.68,53,20,0.0
211,Guerrero Negro,MX,27.9769,-114.0611,75.15,66,20,9.78
212,Kutum,SD,14.2,24.6667,83.98,20,49,13.47
213,Khandyga,RU,62.6667,135.6,14.79,84,100,0.67
214,Codrington,AU,-38.2667,141.9667,53.87,97,100,9.01
215,Tasiilaq,GL,65.6145,-37.6368,39.36,71,93,2.98
216,Norrtalje,SE,59.758,18.705,57.02,71,0,18.25
217,Tawang,IN,27.5833,91.8667,53.62,98,99,1.72
218,Bani,DO,18.2833,-70.3333,81.84,56,17,13.47
219,Oudtshoorn,ZA,-33.5907,22.2014,59.36,77,100,4.27
220,Maldonado,UY,-34.6667,-54.9167,60.22,97,100,4.65
221,Belyy Yar,RU,53.6039,91.3903,35.49,87,0,6.71
222,Wahpeton,US,46.2652,-96.6059,46.42,49,40,18.41
223,Tadotsu,JP,34.275,133.75,67.53,71,100,4.23
224,Tartus,SY,34.889,35.8866,74.26,73,0,2.35
225,Vila Praia De Ancora,PT,41.811,-8.8526,68.72,74,6,4.72
226,Aklavik,CA,68.2191,-135.0107,35.42,90,57,11.21
227,Poum,NC,-20.2333,164.0167,74.3,70,66,10.58
228,Henties Bay,NA,-22.116,14.2845,55.33,89,0,9.48
229,Jacareacanga,BR,-6.2222,-57.7528,104.76,21,47,4.76
230,Cairns,AU,-16.9167,145.7667,75.07,93,100,9.22
231,Jijiga,ET,9.35,42.8,68.07,62,100,4.03
232,Umm Lajj,SA,25.0213,37.2685,86.61,56,0,7.58
233,Avera,US,33.194,-82.5271,83.55,24,0,3.65
234,Sohag,EG,26.557,31.6948,86.29,31,0,17.16
235,Yaqui,MX,27.3667,-110.1667,93.78,23,0,4.56
236,Lagoa,PT,39.05,-27.9833,70.27,88,0,12.44
237,Castro,BR,-24.7911,-50.0119,62.37,97,100,7.56
238,Kota Kinabalu,MY,5.9749,116.0724,76.98,94,20,0.0
239,Constitucion,CL,-35.3333,-72.4167,60.4,63,68,9.69
240,Darlawn,IN,24.0167,92.9,65.46,99,31,2.15
241,Pangai,TO,-19.8,-174.35,77.11,78,75,9.22
242,Zhigansk,RU,66.7697,123.3711,18.72,89,100,14.14
243,Taltal,CL,-25.4,-70.4833,66.96,51,22,4.74
244,Touros,BR,-5.1989,-35.4608,81.52,71,5,14.43
245,Sorong,ID,-0.8833,131.25,78.91,83,100,0.72
246,Chokurdakh,RU,70.6333,147.9167,16.02,92,16,11.52
247,San Quintin,MX,30.4833,-115.95,72.21,71,19,8.5
248,Cherskiy,RU,68.75,161.3,24.19,91,100,20.56
249,Manokwari,ID,-0.8667,134.0833,77.86,81,100,2.08
250,Magdagachi,RU,53.45,125.8,26.2,76,24,4.7
251,San Jeronimo,PE,-11.9472,-75.2829,68.0,21,73,2.82
252,Mahebourg,MU,-20.4081,57.7,72.25,73,75,11.5
253,Chaman,PK,30.9236,66.4512,68.36,15,0,1.7
254,Santa Cruz,BO,-17.8,-63.1667,77.05,65,40,12.66
255,Saskylakh,RU,71.9167,114.0833,19.24,91,100,17.18
256,Hofn,IS,64.2539,-15.2082,43.48,63,99,10.71
257,Deputatskiy,RU,69.3,139.9,10.09,89,99,9.82
258,Merzig,DE,49.45,6.6333,54.05,77,0,1.54
259,Asosa,ET,10.0667,34.5333,59.47,90,63,4.29
260,Astoria,US,46.1879,-123.8313,66.9,86,0,1.99
261,Zabol,AF,32.25,67.25,60.39,16,0,4.0
262,Iracoubo,GF,5.4802,-53.2011,84.22,69,98,14.34
263,Anzio,IT,41.4853,12.6179,70.99,73,100,6.2
264,Ludwigslust,DE,53.3167,11.5,54.82,69,6,7.29
265,Quatre Cocos,MU,-20.2078,57.7625,72.09,71,100,15.23
266,Norman Wells,CA,65.282,-126.8329,42.84,81,20,9.22
267,Englehart,CA,47.8169,-79.8664,45.16,87,100,16.11
268,Talcahuano,CL,-36.7167,-73.1167,55.08,94,100,14.97
269,Saint-Francois,FR,46.4154,3.9054,60.24,82,100,4.61
270,Port Hardy,CA,50.6996,-127.4199,55.58,100,100,2.3
271,Cidreira,BR,-30.1811,-50.2056,63.86,96,100,18.43
272,Shikhany,RU,52.1167,47.2167,44.94,83,12,6.38
273,Kawalu,ID,-7.3817,108.2082,71.76,99,100,0.18
274,Jos,NG,9.9167,8.9,66.16,85,93,4.45
275,Ryazhsk,RU,53.7038,40.1109,49.66,89,66,7.49
276,Yerbogachen,RU,61.2767,108.0108,28.2,90,100,2.64
277,Uusikaupunki,FI,60.8004,21.4084,54.55,74,30,21.47
278,Sakakah,SA,29.9697,40.2064,90.97,17,5,3.38
279,Faxinal,BR,-24.0003,-51.3194,65.25,96,100,6.91
280,Goundam,ML,16.4145,-3.6708,100.24,15,27,7.85
281,Vallenar,CL,-28.5708,-70.7581,83.41,8,1,8.16
282,Brae,GB,60.3964,-1.353,51.73,79,100,23.0
283,Ketchikan,US,55.3422,-131.6461,55.87,94,40,13.8
284,Broome,US,42.2506,-75.833,76.01,56,0,5.75
285,Buala,SB,-8.145,159.5921,79.03,81,100,7.14
286,San Lorenzo,PY,-25.3333,-57.5333,72.54,83,75,11.99
287,Inirida,CO,3.8653,-67.9239,95.13,43,85,1.95
288,Matara,LK,5.9485,80.5353,77.02,87,100,10.29
289,Laguna,US,38.421,-121.4238,90.01,45,0,4.61
290,Changzhou,CN,31.7833,119.9667,54.41,95,100,9.91
291,Qasigiannguit,GL,68.8193,-51.1922,32.25,86,100,3.22
292,Kayes,ML,14.0,-11.0,84.07,57,8,5.35
293,Saucillo,MX,28.0167,-105.2833,79.86,30,12,5.88
294,Sonipat,IN,28.9833,77.0167,75.2,84,1,8.9
295,Zalesovo,RU,53.9939,84.7431,38.16,73,16,3.74
296,Sinnamary,GF,5.3833,-52.95,85.08,66,76,14.16
297,Alnashi,RU,56.1874,52.4792,43.93,92,73,8.7
298,Tambacounda,SN,13.7539,-13.7586,95.05,52,40,2.3
299,Don Sak,TH,9.3168,99.6918,79.61,85,98,6.17
300,Drayton Valley,CA,53.2168,-114.9854,58.75,53,0,1.77
301,Mackay,AU,-21.15,149.2,70.68,79,50,13.27
302,Boke,GN,10.9409,-14.2967,77.16,92,61,4.09
303,Omsukchan,RU,62.5333,155.8,15.67,95,100,6.44
304,Mokrous,RU,51.2333,47.5167,48.15,78,8,8.77
305,Corinto,GR,37.9407,22.9573,67.89,51,9,5.06
306,Tamiahua,MX,21.2667,-97.45,74.44,82,100,6.4
307,Cangzhou,CN,38.3167,116.8667,47.82,77,0,5.86
308,Tiksi,RU,71.6872,128.8694,19.33,83,100,26.8
309,Porto Velho,BR,-8.7619,-63.9039,96.85,38,20,5.75
310,Almeirim,BR,-1.5233,-52.5817,96.57,31,35,6.46
311,Matagami,CA,49.7502,-77.6328,39.31,93,100,8.05
312,Takoradi,GH,4.8845,-1.7554,76.51,87,4,9.62
313,Brigantine,US,39.4101,-74.3646,77.2,73,20,8.99
314,Santiago Del Estero,AR,-27.7951,-64.2615,84.87,13,0,20.4
315,Mezhdurechensk,RU,53.6942,88.0603,36.01,99,100,1.83
316,San Vicente,AR,-26.6167,-54.1333,66.76,90,98,4.92
317,Belo Oriente,BR,-19.22,-42.4836,83.95,53,100,5.86
318,Vila,PT,42.0304,-8.1588,64.71,63,7,2.84
319,Nortelandia,BR,-14.4547,-56.8028,96.04,30,95,4.81
320,Vuktyl,RU,63.8567,57.3094,41.49,94,100,5.77
321,Praya,CV,14.9215,-23.5087,86.54,66,12,13.8
322,Hasaki,JP,35.7333,140.8333,54.28,77,100,16.67
323,Dhangadhi,NP,28.7079,80.5961,71.26,86,100,4.21
324,Altay,CN,47.8667,88.1167,39.69,55,0,4.72
325,Nantucket,US,41.2835,-70.0995,69.94,92,100,12.66
326,Saint Anthony,US,45.0205,-93.218,56.25,50,0,21.85
327,Salalah,OM,17.0151,54.0924,78.89,89,20,4.61
328,La Ronge,CA,55.1001,-105.2842,43.02,45,20,4.61
329,San Rafael Del Sur,NI,11.8485,-86.4384,88.77,61,100,9.15
330,Atar,MR,20.5169,-13.0499,96.55,15,0,10.92
331,Tiznit,MA,29.5833,-9.5,74.62,52,0,4.38
332,Huarmey,PE,-10.0681,-78.1522,68.2,68,26,11.88
333,San Ramon,US,37.7799,-121.978,84.56,50,0,4.61
334,Kuusamo,FI,65.9667,29.1833,42.84,93,75,10.36
335,Morant Bay,JM,17.8815,-76.4093,90.72,74,75,10.56
336,Bonthe,SL,7.5264,-12.505,77.72,84,90,5.35
337,Botwood,CA,49.1499,-55.3482,70.9,29,13,6.2
338,Evensk,RU,61.95,159.2333,21.85,55,95,8.34
339,Conceicao Da Barra,BR,-18.5933,-39.7322,80.55,63,68,10.49
