,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
340,Katsuura,JP,35.1333,140.3,60.42,86,100,15.26
341,Kruisfontein,ZA,-34.0033,24.7314,58.89,79,100,9.37
342,Faanui,PF,-16.4833,-151.75,78.28,78,83,25.57
343,Banda Aceh,ID,5.5577,95.3222,76.19,90,100,9.33
344,Susanville,US,40.4163,-120.653,76.8,24,0,4.61
345,Antalaha,MG,-14.9003,50.2788,69.49,84,2,10.22
346,Parrsboro,CA,45.4001,-64.332,63.39,71,100,8.99
347,Sangar,RU,63.9242,127.4739,20.8,74,45,4.03
348,Vysokogornyy,RU,50.1167,139.15,21.54,95,15,3.15
349,Chicama,PE,-7.8447,-79.1469,61.34,60,9,11.81
350,Burnie,AU,-41.0667,145.9167,56.95,93,100,3.09
351,Grand Gaube,MU,-20.0064,57.6608,72.0,67,80,7.0
352,Port-Gentil,GA,-0.7193,8.7815,78.76,83,75,14.97
353,Mao,ES,39.8885,4.2658,72.16,83,40,9.22
354,Kailua,US,21.4022,-157.7394,81.45,72,75,9.22
355,Aquiraz,BR,-3.9014,-38.3911,86.09,64,5,12.64
356,Debre Tabor,ET,11.85,38.0167,51.84,74,40,3.65
357,Baruun-Urt,MN,46.6806,113.2792,28.67,42,99,4.54
358,Tyrma,RU,50.0833,132.1667,25.74,76,39,1.77
359,Sao Joao Da Barra,BR,-21.6403,-41.0511,78.89,85,99,14.27
360,Broken Hill,AU,-31.95,141.4333,57.83,83,100,13.65
361,Biak,ID,-0.9131,122.8766,76.39,85,98,5.59
362,Dali,CN,25.7,100.1833,61.5,92,100,4.38
363,Ixtapa,MX,20.7,-105.2,87.22,66,40,8.05
364,Hay River,CA,60.8156,-115.7999,55.38,54,20,11.5
365,Pitimbu,BR,-7.4706,-34.8086,86.59,76,16,10.83
366,Kabompo,ZM,-13.5927,24.2008,73.2,18,49,6.26
367,Comodoro Rivadavia,AR,-45.8667,-67.5,55.26,50,75,11.5
368,Kidal,ML,18.4411,1.4078,94.33,15,4,9.06
369,Maceio,BR,-9.6658,-35.7353,85.44,65,40,13.8
370,Balikpapan,ID,-1.2675,116.8289,76.19,100,20,4.61
371,Suntar,RU,62.1444,117.6319,22.03,85,34,5.64
372,Tuktoyaktuk,CA,69.4541,-133.0374,33.8,100,75,20.71
373,Chernyshevskiy,RU,63.0128,112.4714,21.43,81,39,2.73
374,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,90,20,19.57
375,Gimli,CA,50.6336,-96.9907,37.42,70,32,12.66
376,Valparaiso,CL,-33.0393,-71.6273,76.64,77,0,13.8
377,Mitsamiouli,KM,-11.3847,43.2844,76.41,77,0,4.34
378,Puerto Ayacucho,VE,5.6639,-67.6236,84.45,72,100,5.37
379,Buraydah,SA,26.326,43.975,84.65,11,0,9.55
380,Dera Bugti,PK,29.0307,69.151,83.07,27,0,3.38
381,Nemuro,JP,43.3236,145.575,49.59,66,50,7.63
382,Nuuk,GL,64.1835,-51.7216,34.41,80,75,1.14
383,Clyde River,CA,70.4692,-68.5914,25.03,80,75,2.3
384,Bethel,US,41.3712,-73.414,76.01,55,0,3.44
385,Kununurra,AU,-15.7667,128.7333,78.78,78,40,5.75
386,Dunedin,NZ,-45.8742,170.5036,41.25,80,43,11.18
387,Vila Velha,BR,-20.3297,-40.2925,80.55,69,75,11.5
388,Yunyang,CN,33.4474,112.7142,47.86,94,98,1.16
389,Abnub,EG,27.2696,31.1511,80.82,31,0,13.67
390,Rosario Oeste,BR,-14.8361,-56.4275,95.18,33,100,5.68
391,Beyneu,KZ,45.3167,55.2,62.6,15,98,11.65
392,Manaus,BR,-3.1019,-60.025,95.5,46,40,8.05
393,Ambilobe,MG,-13.2,49.05,71.92,76,18,6.11
394,Ulaangom,MN,49.9811,92.0667,35.47,65,4,7.2
395,Mayumba,GA,-3.432,10.6554,76.48,85,100,8.66
396,Rudnogorsk,RU,57.2639,103.7519,18.57,99,77,0.58
397,Simnas,LT,54.4,23.65,51.87,77,0,13.4
398,Arlit,NE,18.7369,7.3853,96.6,13,100,12.33
399,Massaguet,TD,12.4755,15.4365,88.23,48,76,13.31
400,Fredericton,CA,45.9454,-66.6656,72.37,50,0,2.3
401,Santa Lucia,ES,27.9117,-15.5407,67.77,57,20,20.71
402,Berlevag,NO,70.8578,29.0864,44.6,87,100,20.71
403,Oktyabrskiy,RU,54.4815,53.471,43.2,93,17,6.33
404,Turbat,PK,26.0023,63.044,82.53,50,0,2.08
405,Wewak,PG,-3.5534,143.6268,79.03,83,100,3.74
406,Hambantota,LK,6.1241,81.1185,77.34,94,40,6.91
407,Tallahassee,US,30.4383,-84.2807,86.2,33,0,4.61
408,Te Anau,NZ,-45.4167,167.7167,31.39,92,30,0.92
409,Isangel,VU,-19.55,169.2667,71.71,94,94,5.75
410,Mexico,PH,15.0646,120.7198,80.31,88,100,4.25
411,Benguela,AO,-12.5763,13.4055,71.76,81,90,5.86
412,Ambulu,ID,-8.345,113.6058,74.95,93,100,2.1
413,Dmitriyevka,RU,54.75,55.3333,45.95,85,66,7.45
414,Turkmenabat,TM,39.0733,63.5786,53.58,37,0,0.0
415,Luang Prabang,LA,19.8856,102.1347,70.66,99,70,0.72
416,Nisia Floresta,BR,-6.0911,-35.2086,86.38,67,7,11.81
417,Baiyin,CN,36.5583,104.2081,49.68,51,98,3.31
418,Port Hedland,AU,-20.3167,118.5667,66.25,94,1,3.44
419,Anadyr,RU,64.75,177.4833,34.3,69,0,24.61
420,Havre-Saint-Pierre,CA,50.2334,-63.5986,61.16,67,40,4.61
421,San Cristobal,VE,7.7669,-72.225,78.98,66,100,5.19
422,Aswan,EG,24.0934,32.907,96.1,13,0,5.75
423,Guanajuato,MX,21.0186,-101.2591,74.3,60,100,6.04
424,Ugoofaaru,MV,5.6667,73.0,81.52,76,35,18.03
425,Chumikan,RU,54.7183,135.315,31.66,70,60,16.89
426,Kinablangan,PH,7.6947,126.5503,77.97,81,48,3.74
427,Mahajanga,MG,-15.7167,46.3167,77.02,78,0,4.61
428,Huangmei,CN,30.1924,116.025,56.12,94,100,0.96
429,Tongchuan,CN,35.0806,109.0897,47.5,90,100,1.7
430,Shieli,KZ,44.1667,66.75,56.28,26,2,7.99
431,Port-Cartier,CA,50.0334,-66.8654,55.62,80,99,3.6
432,Margate,GB,51.3813,1.3862,56.7,77,45,3.0
433,Tera,NE,14.0078,0.7531,85.46,42,100,14.23
434,Stornoway,GB,58.2093,-6.3865,51.76,90,40,18.41
435,Bengkulu,ID,-3.8004,102.2655,72.79,92,100,10.92
436,Denpasar,ID,-8.65,115.2167,76.71,100,75,4.61
437,Chitrakonda,IN,18.1167,82.0833,72.88,91,100,3.89
438,Buchanan,LR,5.8808,-10.0467,77.11,87,86,6.71
439,Novoagansk,RU,61.9449,76.6625,36.73,80,100,11.39
440,Broumov,CZ,50.5857,16.3318,50.31,100,4,0.47
441,Bay Roberts,CA,47.5999,-53.2648,61.92,84,99,1.99
442,Santa Filomena,PH,9.7518,123.3446,80.02,80,99,6.91
443,Hauterive,FR,46.0901,3.4459,61.56,92,100,2.21
444,Batemans Bay,AU,-35.7167,150.1833,58.1,95,100,4.85
445,Asau,RO,46.4333,26.4,51.28,66,100,4.5
446,Goderich,CA,43.7501,-81.7165,68.92,59,77,11.5
447,El Molino,CO,10.6523,-72.924,84.61,83,100,2.33
448,Lagunas,PE,-5.2269,-75.6753,90.77,51,100,1.32
449,Kyaikkami,MM,16.08,97.5675,79.61,85,100,6.73
450,Hwange,ZW,-18.3693,26.5019,78.6,25,5,3.78
451,Necochea,AR,-38.5473,-58.7368,59.0,63,100,10.98
452,Andahuaylas,PE,-13.6556,-73.3872,71.69,42,20,9.37
453,Vangaindrano,MG,-23.35,47.6,68.34,91,35,6.13
454,Maragogi,BR,-9.0122,-35.2225,78.96,79,38,9.22
455,Loiza,PR,18.4313,-65.8802,88.68,73,40,17.27
456,Strezhevoy,RU,60.7333,77.5889,34.86,83,100,9.98
457,Bugiri,UG,0.5714,33.7417,64.0,96,98,1.54
458,Vestmanna,FO,62.1564,-7.1664,47.32,87,100,9.22
459,Paragominas,BR,-2.9667,-47.4833,98.69,27,79,9.66
460,Dandong,CN,40.1292,124.3947,39.0,65,0,6.08
461,Porto Novo,BJ,6.4965,2.6036,80.42,86,21,7.36
462,Piet Retief,ZA,-27.0071,30.8132,69.1,25,1,1.57
463,Rio Grande,BR,-32.035,-52.0986,66.31,97,100,10.0
464,Upernavik,GL,72.7868,-56.1549,25.59,95,100,6.2
465,Barcelona,ES,41.3888,2.159,71.78,76,20,11.5
466,Noumea,NC,-22.2763,166.4572,72.0,99,86,7.99
467,Coos Bay,US,43.3665,-124.2179,63.23,94,100,0.0
468,Coihueco,CL,-36.6167,-71.8333,59.74,59,100,3.44
469,Talnakh,RU,69.4865,88.3972,18.41,96,93,6.35
470,La Asuncion,VE,11.0333,-63.8628,83.93,74,96,10.36
471,Mizdah,LY,31.4451,12.9801,67.33,51,0,13.62
472,Le Havre,FR,49.4938,0.1077,54.52,76,0,2.3
473,Kirensk,RU,57.7853,108.1119,27.84,91,100,1.52
474,Shadegan,IR,30.6497,48.6647,87.75,9,0,9.73
475,Lagos De Moreno,MX,21.35,-101.9167,76.28,50,100,4.65
476,Fort Saint James,CA,54.4333,-124.25,64.24,55,7,1.86
477,Neijiang,CN,29.5835,105.0622,58.12,92,100,2.55
478,Ilulissat,GL,69.2167,-51.1,32.02,69,75,2.3
479,Bubaque,GW,11.2833,-15.8333,81.93,70,55,7.0
480,Imeni Poliny Osipenko,RU,52.4201,136.4853,27.21,67,11,4.94
481,Saint-Joseph,RE,-21.3667,55.6167,70.18,77,21,13.2
482,Mfou,CM,3.7159,11.6427,68.77,99,100,4.43
483,Annigeri,IN,15.4333,75.4333,68.58,96,100,10.09
484,Krasnoarmeysk,RU,51.0239,45.6969,50.38,70,100,9.48
485,Sitionuevo,CO,10.7774,-74.7205,86.16,79,40,5.75
486,Sao Francisco De Paula,BR,-29.4481,-50.5836,64.38,82,96,8.88
487,Kalianget,ID,-7.05,113.9333,81.37,77,100,6.4
488,Mweka,CD,-4.85,21.5667,71.13,89,100,1.97
489,Vao,NC,-22.6667,167.4833,71.73,70,15,22.7
490,Fayaoue,NC,-20.65,166.5333,73.96,79,100,20.54
491,Deer Lake,CA,49.1667,-57.4316,64.26,32,75,5.75
492,Poya,NC,-21.35,165.15,71.47,73,62,4.68
493,Pointe Michel,DM,15.25,-61.3833,90.54,51,20,5.75
494,Gigmoto,PH,13.7796,124.39,80.55,87,100,7.34
495,Carupano,VE,10.6678,-63.2585,83.28,73,100,10.31
496,Kaele,CM,10.1092,14.4508,75.9,80,100,3.98
497,Santa Fe,AR,-31.6333,-60.7,72.01,49,100,10.0
498,Kilindoni,TZ,-7.9139,39.6668,76.37,76,0,15.79
499,Yar-Sale,RU,66.8333,70.8333,35.76,94,100,11.7
500,Ibra,OM,22.6906,58.5334,79.81,50,0,3.31
501,Haines Junction,CA,60.7522,-137.5108,40.95,65,26,2.3
502,Yenagoa,NG,4.9247,6.2642,75.22,92,100,4.23
503,Novobiryusinskiy,RU,56.9578,97.7076,31.8,99,100,1.97
504,Ximei,CN,24.9639,118.3794,70.99,91,10,2.3
505,Zitsa,GR,39.6943,20.6372,65.95,47,100,2.3
506,Kavaratti,IN,10.5669,72.642,81.68,74,100,18.54
507,Tchollire,CM,8.4022,14.1698,68.67,96,31,1.45
508,Northam,GB,51.0333,-4.2167,58.6,88,5,16.31
509,Kendari,ID,-3.945,122.4989,74.44,95,100,3.31
510,San Jose,US,37.3394,-121.895,87.85,65,40,4.61
511,Kosa,RU,59.9445,54.9977,43.41,96,100,3.04
512,Marawi,PH,7.9986,124.2928,69.06,93,99,2.59
513,Arequipa,PE,-16.3989,-71.535,69.87,14,0,10.36
514,Rumoi,JP,43.9344,141.6428,43.07,71,91,4.94
515,Nouadhibou,MR,20.931,-17.0347,80.58,54,8,16.11
516,Chiredzi,ZW,-21.05,31.6667,84.92,25,0,12.57
517,Aktash,RU,50.3,87.7333,23.25,96,61,4.72
518,Pyapon,MM,16.2833,95.6833,76.78,89,67,3.09
519,Manoel Urbano,BR,-8.8389,-69.2597,93.0,42,100,4.36
520,Marzuq,YE,14.4,46.4667,74.19,58,63,4.0
521,Zeya,RU,53.75,127.2667,27.03,82,33,3.76
522,Bacolod,PH,10.6667,122.95,78.49,83,69,5.01
523,Shetpe,KZ,44.1667,52.1167,60.76,66,100,10.51
524,Nishihara,JP,26.1842,127.7558,78.08,89,20,6.91
525,Beloha,MG,-25.1667,45.05,74.61,57,0,5.48
526,Dhidhdhoo,MV,6.8833,73.1,81.82,74,100,18.66
527,Berbera,SO,10.4396,45.0143,87.66,62,100,7.96
528,Tutoia,BR,-2.7619,-42.2744,82.81,72,48,15.55
529,Ales,FR,44.1333,4.0833,65.7,75,43,3.36
530,Naze,JP,28.3667,129.4833,70.72,76,10,5.19
531,Shimanovsk,RU,52.0,127.7,28.51,73,30,5.61
532,Dois Corregos,BR,-22.3661,-48.3803,89.2,33,94,15.59
533,Nacajuca,MX,18.1333,-93.0167,81.01,71,94,7.87
534,Never,FR,46.9896,3.159,56.95,87,0,0.0
535,Misratah,LY,32.3754,15.0925,74.79,55,0,14.03
536,Sombrio,BR,-29.1139,-49.6167,69.93,91,100,11.83
537,Dudinka,RU,69.4058,86.1778,27.28,85,100,9.73
538,Vilhena,BR,-12.7406,-60.1458,91.62,40,40,11.5
539,Baoning,CN,25.3378,110.026,62.46,72,100,8.95
540,Martyush,RU,56.4,61.8819,49.37,70,100,9.95
541,Prieska,ZA,-29.6641,22.7474,72.19,10,100,18.21
542,Macrohon,PH,10.0797,124.9431,81.25,80,71,6.4
543,Dingle,PH,10.9995,122.6711,76.35,91,64,6.31
544,Praia Da Vitoria,PT,38.7333,-27.0667,71.85,88,75,10.31
545,Sao Filipe,CV,14.8961,-24.4956,79.93,80,13,10.69
546,Kungurtug,RU,50.5994,97.5228,27.34,93,100,3.27
547,Bankfoot,GB,56.5,-3.5,56.21,91,100,17.0
548,Nuoro,IT,40.3211,9.3297,58.06,81,5,1.66
549,Kayasula,RU,44.325,45.0,55.99,73,41,4.45
550,Yumen,CN,40.2833,97.2,48.29,38,0,14.81
551,Narsaq,GL,60.9167,-46.05,32.05,73,1,1.34
552,Seoul,KR,37.5683,126.9778,56.8,80,0,9.22
553,Ligayan,PH,4.6533,119.4706,82.81,71,100,2.19
554,Caravelas,BR,-17.7125,-39.2481,81.25,59,79,9.15
555,Luanda,AO,-8.8368,13.2343,74.86,85,16,4.0
556,Katherine,AU,-14.4667,132.2667,79.12,65,1,0.0
557,Millinocket,US,45.6573,-68.7098,71.71,43,0,4.61
558,Jiuquan,CN,39.7432,98.5174,48.33,39,1,5.39
559,Bandarbeyla,SO,9.4942,50.8122,77.77,85,64,18.92
560,Hami,CN,42.8,93.45,51.04,29,0,2.1
561,Ormara,PK,25.2088,64.6357,79.77,75,0,7.02
562,Nagykoros,HU,47.0342,19.7786,57.76,82,0,0.0
563,Newnan,US,33.3807,-84.7997,78.78,34,0,8.05
564,Penapolis,BR,-21.4197,-50.0775,93.22,42,80,6.69
565,Russell,US,32.3502,-85.1999,83.48,24,0,9.22
566,Opuwo,NA,-18.0607,13.84,81.55,15,50,11.07
567,Greytown,ZA,-29.0642,30.5928,61.72,93,49,4.76
568,Novokruchininskiy,RU,51.7833,113.7667,22.73,65,78,1.41
569,Wakkanai,JP,45.4094,141.6739,49.01,56,90,10.56
570,Bharatpur,IN,27.2167,77.4833,74.44,85,100,9.01
571,Aksu,CN,41.1231,80.2644,58.66,31,100,3.33
572,Lorengau,PG,-2.0226,147.2712,80.02,82,100,9.73
573,Concepcion Del Oro,MX,24.6333,-101.4167,55.08,83,100,4.16
574,Livingston,GB,55.9029,-3.5226,56.1,87,40,19.57
575,Svetogorsk,RU,61.1121,28.8632,48.85,90,96,4.0
576,Leshukonskoye,RU,64.8989,45.7622,46.06,87,100,12.17
577,Kanniyakumari,IN,8.0833,77.5667,78.46,84,100,17.0
578,Sorland,NO,67.667,12.6934,48.49,66,83,27.6
579,Soyo,AO,-6.1349,12.3689,77.07,78,62,12.75
580,Sola,VU,-13.8833,167.55,72.27,94,100,0.0
581,Zalantun,CN,48.0,122.7167,29.14,53,0,5.46
582,Scarborough,GB,54.2797,-0.4044,60.37,80,89,10.0
583,Huilong,CN,31.8111,121.655,58.93,92,100,12.44
584,Batagay-Alyta,RU,67.8006,130.4114,9.84,83,100,4.38
585,Nefteyugansk,RU,61.0998,72.6035,42.44,95,100,11.79
586,Khomeyn,IR,33.6423,50.0789,64.69,18,4,3.83
587,Umea,SE,63.8284,20.2597,48.9,71,0,8.05
588,Robertsport,LR,6.7533,-11.3686,78.8,83,99,8.75
589,Belaya Gora,RU,68.5333,146.4167,19.71,87,74,13.13
590,Kirovskiy,RU,45.0917,133.5136,33.22,61,84,4.99
591,Nizhniy Tsasuchey,RU,50.5167,115.1333,26.8,52,75,3.33
592,Goias,BR,-15.5807,-49.6362,90.39,33,77,9.04
593,Ostrowiec Swietokrzyski,PL,50.9294,21.3853,59.09,91,62,6.73
594,Merauke,ID,-8.4667,140.3333,78.55,88,100,13.29
595,Pangnirtung,CA,66.1451,-65.7125,30.69,94,100,1.66
596,Boyuibe,BO,-20.4167,-63.2833,84.0,27,13,8.93
597,Rudbar,AF,30.15,62.6,69.85,8,0,9.82
598,Brighton,GB,50.8284,-0.1395,60.57,83,30,11.01
599,Rundu,NA,-17.9333,19.7667,77.68,14,78,5.75
600,Zhuhai,CN,22.2769,113.5678,82.18,83,40,13.8
601,Labuhan,ID,-6.8844,112.2051,77.88,84,100,9.55
602,Magan,ES,39.9683,-3.931,76.69,32,51,12.24
603,Manitouwadge,CA,49.1215,-85.8403,36.79,88,100,14.34
604,Araouane,ML,18.9048,-3.5265,99.99,14,58,6.87
605,Meiganga,CM,6.5167,14.3,66.78,93,97,3.15
606,Pangody,RU,65.85,74.4859,34.61,84,99,13.6
607,Kodino,RU,63.7198,39.6447,48.9,90,100,13.6
608,Sayyan,YE,15.1718,44.3244,62.08,26,97,5.14
609,Lindenberg,DE,49.3803,8.0986,53.33,68,39,1.99
610,Astana,KZ,51.1801,71.446,35.55,69,96,4.47
611,Rio Do Sul,BR,-27.2142,-49.6431,65.39,99,100,5.1
612,Paamiut,GL,61.994,-49.6678,37.2,70,29,0.85
613,Longkou,CN,37.6508,120.3286,57.61,52,5,8.19
614,Florida,US,28.7505,-82.5001,84.9,61,0,9.22
615,Hagere Selam,ET,6.4833,38.5167,49.69,98,100,4.92
616,Novobirilyussy,RU,56.9514,90.6661,30.09,98,86,2.86
617,Vestmannaeyjar,IS,63.4427,-20.2734,45.59,61,0,17.27
618,Ransang,PH,8.9603,117.5828,79.25,85,96,2.95
619,Uthal,PK,25.8072,66.6219,81.01,71,0,2.82
620,Cap Malheureux,MU,-19.9842,57.6142,71.47,67,72,7.0
621,Zhicheng,CN,30.2956,111.5047,52.43,91,100,1.7
622,General Roca,AR,-39.0333,-67.5833,73.0,19,37,28.74
623,Dalbandin,PK,28.8947,64.4101,74.21,10,0,4.18
624,Aksarka,RU,66.5606,67.7975,38.28,95,100,7.23
625,Soe,ID,-9.8607,124.284,67.03,90,64,3.4
626,Arroyo,ES,41.6096,-4.7969,72.14,52,0,9.22
627,Tautira,PF,-17.7333,-149.15,76.68,78,51,25.17
628,Balkanabat,TM,39.5108,54.3671,70.79,24,0,4.85
629,Darhan,MN,49.4867,105.9228,31.28,60,92,5.19
630,Matay,EG,28.419,30.7792,76.32,42,0,19.04
631,Xuddur,SO,4.1213,43.8894,76.5,66,42,16.6
632,Souillac,MU,-20.5167,57.5167,71.98,73,75,11.5
633,Salinas,US,36.6777,-121.6555,74.21,77,20,4.61
634,Ichinoseki,JP,38.9167,141.1333,44.65,82,100,2.91
635,Dongsheng,CN,39.8161,109.9776,42.19,45,0,7.87
636,Svetlogorsk,BY,52.6333,29.7333,56.59,83,100,11.03
637,Churapcha,RU,62.0025,132.4325,23.54,94,100,3.36
638,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,32.59,86,40,6.71
639,Rio Gallegos,AR,-51.6226,-69.2181,53.65,28,40,25.32
640,Luau,AO,-10.7073,22.2247,75.78,40,50,6.15
641,Kurchum,KZ,48.5722,83.6542,47.21,64,1,7.9
642,Luwingu,ZM,-10.2621,29.9271,71.8,20,1,5.93
643,Maarianhamina,AX,60.0973,19.9348,55.26,67,0,12.66
644,Marataizes,BR,-21.0433,-40.8244,74.5,86,99,16.53
645,Sidhi,IN,24.4167,81.8833,75.42,90,88,3.53
646,Kirakira,SB,-10.4544,161.9205,77.63,85,95,6.33
647,Lavrentiya,RU,65.5833,-171.0,38.62,77,10,29.97
648,Tomohon,ID,1.3346,124.8392,67.14,88,99,2.57
649,Eldorado,BR,-23.7869,-54.2836,71.08,93,100,15.61
650,Olean,US,42.0776,-78.4297,72.18,52,75,3.44
651,Shingu,JP,33.7333,135.9833,65.3,95,100,6.02
652,Neiafu,TO,-18.65,-173.9833,79.48,83,40,8.05
653,Nyborg,DK,55.3127,10.7896,56.93,80,15,19.84
654,Dutse,NG,11.7594,9.3392,78.17,70,98,8.39
655,Aksarayskiy,RU,46.7924,48.0119,56.91,55,42,7.09
656,Richards Bay,ZA,-28.783,32.0377,70.93,84,100,18.16
657,Marystown,CA,47.1666,-55.1483,59.02,74,46,8.19
658,Jumla,NP,29.2747,82.1838,55.44,95,99,3.15
659,Turukhansk,RU,65.8167,87.9833,29.5,96,100,5.37
660,Ottawa,CA,45.4112,-75.6981,72.99,50,75,11.5
661,Mogok,MM,22.9167,96.5,63.64,98,42,1.66
662,Drovyanaya,RU,51.5833,113.0333,25.66,64,100,2.1
663,Kasempa,ZM,-13.4584,25.8338,72.27,19,26,5.75
664,Awbari,LY,26.5921,12.7805,76.28,35,0,9.6
665,Saint-Alexandre,FR,44.2278,4.6214,67.3,73,38,9.26
666,Boysun,UZ,38.2061,67.1986,50.09,12,0,4.83
667,Half Moon Bay,US,37.4636,-122.4286,83.53,74,40,5.75
668,Emerald,AU,-23.5333,148.1667,62.35,88,2,10.58
669,Ayia Marina,GR,37.75,23.5333,66.56,54,88,25.05
670,Norilsk,RU,69.3535,88.2027,19.69,90,89,6.6
671,Grindavik,IS,63.8424,-22.4338,42.75,81,75,19.57
672,Jonesboro,US,35.8423,-90.7043,84.79,30,0,4.61
673,Bintulu,MY,3.1667,113.0333,75.61,100,40,0.0
674,Port Blair,IN,11.6667,92.75,77.04,94,40,2.3
675,Charlestown,AU,-32.95,151.6667,59.83,95,1,5.91
676,Glenwood Springs,US,39.5505,-107.3248,67.41,54,75,0.0
677,Byron Bay,AU,-28.65,153.6167,60.94,83,97,7.78
678,Maningrida,AU,-12.0667,134.2667,79.29,83,27,5.21
679,Ossora,RU,59.2353,163.0719,32.97,77,6,7.07
